,county,candidate,party,votes,race name,state
408,Sutter,Ruben Major,DEM,526,Secretary of State,CA
409,Sutter,Alex Padilla,DEM,"3,013",Secretary of State,CA
410,Sutter,Mark P. Meuser,REP,"4,612",Secretary of State,CA
411,Sutter,Raul Rodriguez Jr,REP,"1,084",Secretary of State,CA
412,Sutter,Michael Feinstein,GRN,168,Secretary of State,CA
413,Sutter,Erik Rydberg,GRN,76,Secretary of State,CA
414,Sutter,Gail K. Lightfoot,LIB,305,Secretary of State,CA
415,Sutter,C. T. Weber,P&F,161,Secretary of State,CA
416,Tehama,Ruben Major,DEM,451,Secretary of State,CA
417,Tehama,Alex Padilla,DEM,"2,162",Secretary of State,CA
418,Tehama,Mark P. Meuser,REP,"4,779",Secretary of State,CA
419,Tehama,Raul Rodriguez Jr,REP,"1,198",Secretary of State,CA
420,Tehama,Michael Feinstein,GRN,103,Secretary of State,CA
421,Tehama,Erik Rydberg,GRN,70,Secretary of State,CA
422,Tehama,Gail K. Lightfoot,LIB,326,Secretary of State,CA
423,Tehama,C. T. Weber,P&F,159,Secretary of State,CA
424,Trinity,Ruben Major,DEM,178,Secretary of State,CA
425,Trinity,Alex Padilla,DEM,"1,135",Secretary of State,CA
426,Trinity,Mark P. Meuser,REP,"1,253",Secretary of State,CA
427,Trinity,Raul Rodriguez Jr,REP,268,Secretary of State,CA
428,Trinity,Michael Feinstein,GRN,53,Secretary of State,CA
429,Trinity,Erik Rydberg,GRN,41,Secretary of State,CA
430,Trinity,Gail K. Lightfoot,LIB,156,Secretary of State,CA
431,Trinity,C. T. Weber,P&F,46,Secretary of State,CA
432,Tulare,Ruben Major,DEM,"1,388",Secretary of State,CA
433,Tulare,Alex Padilla,DEM,"9,199",Secretary of State,CA
434,Tulare,Mark P. Meuser,REP,"14,678",Secretary of State,CA
435,Tulare,Raul Rodriguez Jr,REP,"2,635",Secretary of State,CA
436,Tulare,Michael Feinstein,GRN,308,Secretary of State,CA
437,Tulare,Erik Rydberg,GRN,110,Secretary of State,CA
438,Tulare,Gail K. Lightfoot,LIB,738,Secretary of State,CA
439,Tulare,C. T. Weber,P&F,269,Secretary of State,CA
440,Tuolumne,Ruben Major,DEM,452,Secretary of State,CA
441,Tuolumne,Alex Padilla,DEM,"3,715",Secretary of State,CA
442,Tuolumne,Mark P. Meuser,REP,"4,126",Secretary of State,CA
443,Tuolumne,Raul Rodriguez Jr,REP,"1,173",Secretary of State,CA
444,Tuolumne,Michael Feinstein,GRN,158,Secretary of State,CA
445,Tuolumne,Erik Rydberg,GRN,57,Secretary of State,CA
446,Tuolumne,Gail K. Lightfoot,LIB,328,Secretary of State,CA
447,Tuolumne,C. T. Weber,P&F,120,Secretary of State,CA
448,Ventura,Ruben Major,DEM,"5,181",Secretary of State,CA
449,Ventura,Alex Padilla,DEM,"47,594",Secretary of State,CA
450,Ventura,Mark P. Meuser,REP,"39,059",Secretary of State,CA
451,Ventura,Raul Rodriguez Jr,REP,"7,190",Secretary of State,CA
452,Ventura,Michael Feinstein,GRN,"2,118",Secretary of State,CA
453,Ventura,Erik Rydberg,GRN,659,Secretary of State,CA
454,Ventura,Gail K. Lightfoot,LIB,"2,349",Secretary of State,CA
455,Ventura,C. T. Weber,P&F,777,Secretary of State,CA
456,Yolo,Ruben Major,DEM,"1,288",Secretary of State,CA
457,Yolo,Alex Padilla,DEM,"15,339",Secretary of State,CA
458,Yolo,Mark P. Meuser,REP,"6,003",Secretary of State,CA
459,Yolo,Raul Rodriguez Jr,REP,"1,107",Secretary of State,CA
460,Yolo,Michael Feinstein,GRN,485,Secretary of State,CA
461,Yolo,Erik Rydberg,GRN,253,Secretary of State,CA
462,Yolo,Gail K. Lightfoot,LIB,574,Secretary of State,CA
463,Yolo,C. T. Weber,P&F,275,Secretary of State,CA
464,Yuba,Ruben Major,DEM,282,Secretary of State,CA
465,Yuba,Alex Padilla,DEM,"1,778",Secretary of State,CA
466,Yuba,Mark P. Meuser,REP,"2,926",Secretary of State,CA
467,Yuba,Raul Rodriguez Jr,REP,800,Secretary of State,CA
468,Yuba,Michael Feinstein,GRN,107,Secretary of State,CA
469,Yuba,Erik Rydberg,GRN,38,Secretary of State,CA
470,Yuba,Gail K. Lightfoot,LIB,256,Secretary of State,CA
471,Yuba,C. T. Weber,P&F,91,Secretary of State,CA
