county,race,candidate,votes
Clark,"STATE ASSEMBLY, DISTRICT 12 (DEMOCRATIC)","MARTINEZ, SUSAN",1695
Clark,"STATE ASSEMBLY, DISTRICT 12 (DEMOCRATIC)","LEVY, ANAT ""ANNETTE""",923
Clark,"STATE ASSEMBLY, DISTRICT 12 (DEMOCRATIC)","MOORE, CINTHIA",403
Clark,"STATE ASSEMBLY, DISTRICT 12 (DEMOCRATIC)","CASUTT, BRANDON J.",229
Clark,"STATE ASSEMBLY, DISTRICT 12 (DEMOCRATIC)","D'AYR, GABRIELLE",204
Clark,"STATE ASSEMBLY, DISTRICT 12 (DEMOCRATIC)","YORK, GREGORY",162
Clark,"STATE ASSEMBLY, DISTRICT 12 (DEMOCRATIC)","SEIP, II, WALTER L.",64
Clark,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)","ROBERTS, TOM",2377
Clark,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)","SANSON, STEVE",734
Clark,"STATE ASSEMBLY, DISTRICT 13 (REPUBLICAN)","KEMP, JAMES ""JP""",499
Clark,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)","WATTS, III, HOWARD",1275
Clark,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)","CHAVEZ, JUAN MANUEL",875
Clark,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)","TOOMIN, LOUIS A. ""LOU""",236
Clark,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)","SPIVAK, ANDREW",215
Clark,"STATE ASSEMBLY, DISTRICT 15 (DEMOCRATIC)","GANDY, MICHAEL",188
Clark,"STATE ASSEMBLY, DISTRICT 18 (REPUBLICAN)","SADLER, MATT",649
Clark,"STATE ASSEMBLY, DISTRICT 18 (REPUBLICAN)","HAWKINS, RICHARD E.",541
Clark,"STATE ASSEMBLY, DISTRICT 21 (REPUBLICAN)","ARRINGTON, CHERLYN",1479
Clark,"STATE ASSEMBLY, DISTRICT 21 (REPUBLICAN)","ATAMIAN, GARO",672
Clark,"STATE ASSEMBLY, DISTRICT 22 (DEMOCRATIC)","WATSON, KRISTEE",3266
Clark,"STATE ASSEMBLY, DISTRICT 22 (DEMOCRATIC)","AGUIRRE-INSUA, LUIS",766
Clark,"STATE ASSEMBLY, DISTRICT 22 (REPUBLICAN)","HARDY, MELISSA",2457
Clark,"STATE ASSEMBLY, DISTRICT 22 (REPUBLICAN)","BUNCE, RICHARD",1838
Clark,"STATE ASSEMBLY, DISTRICT 23 (REPUBLICAN)","LEAVITT, GLEN",3466
Clark,"STATE ASSEMBLY, DISTRICT 23 (REPUBLICAN)","MCCARTHY, MATT",2824
Clark,"STATE ASSEMBLY, DISTRICT 29 (DEMOCRATIC)","COHEN, LESLEY ELIZABETH (INCUMBENT)",3119
Clark,"STATE ASSEMBLY, DISTRICT 29 (DEMOCRATIC)","WATSON, TERRY L.",485
Clark,"STATE ASSEMBLY, DISTRICT 34 (REPUBLICAN)","WESEN, JANICE E.",1050
Clark,"STATE ASSEMBLY, DISTRICT 34 (REPUBLICAN)","LAURIE, ANTHONY A.",1027
Clark,"STATE ASSEMBLY, DISTRICT 35 (DEMOCRATIC)","GORELOW, MICHELLE",1794
Clark,"STATE ASSEMBLY, DISTRICT 35 (DEMOCRATIC)","NIMSUWAN, PAUL",1567
Clark,"STATE ASSEMBLY, DISTRICT 35 (REPUBLICAN)","SCHOEN, DAVID",1421
Clark,"STATE ASSEMBLY, DISTRICT 35 (REPUBLICAN)","JONES, AIMEE",1008
Clark,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)","OSCARSON, JAMES (INCUMBENT)",893
Clark,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)","HOF, DENNIS",509
Clark,"STATE ASSEMBLY, DISTRICT 36 (REPUBLICAN)","BRADLEY, JOSEPH J.",374
Clark,"STATE ASSEMBLY, DISTRICT 37 (DEMOCRATIC)","BACKUS, SHEA",2456
Clark,"STATE ASSEMBLY, DISTRICT 37 (DEMOCRATIC)","PEARCE, ROBBIE LUCILLE",1095
Clark,"STATE ASSEMBLY, DISTRICT 37 (DEMOCRATIC)","CORNSTUBLE, RICK",945
Clark,"STATE ASSEMBLY, DISTRICT 42 (DEMOCRATIC)","ASSEFA, ALEXANDER",1399
Clark,"STATE ASSEMBLY, DISTRICT 42 (DEMOCRATIC)","LAUCKNER, KATHLEEN",863
Clark,"STATE ASSEMBLY, DISTRICT 42 (DEMOCRATIC)","HENRY, LADON",267
Clark,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",70944
Clark,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",46705
Clark,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",21683
Clark,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,21623
Clark,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",14527
Clark,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",9881
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 1 (NONPARTISAN)","PERKINS, LAURA E.",5651
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 1 (NONPARTISAN)","CATO, JO",3626
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 1 (NONPARTISAN)","MALLORY, JACK",3168
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 1 (NONPARTISAN)","OLSON, DAVID M.",2861
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 1 (NONPARTISAN)","RAMIREZ, EDDIE",2076
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 4 (NONPARTISAN)","MCMICHAEL, SR., DONALD SYLVANTEE",8305
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12 (NONPARTISAN)","CARVALHO, AMY",10503
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12 (NONPARTISAN)","COATES, ANDREW",7566
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12 (NONPARTISAN)","GUTSCHICK, BOB",2597
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12 (NONPARTISAN)","COCA, T. RAO",1763
Clark,COUNTY COMMISSIONER DISTRICT E (DEMOCRATIC),"SEGERBLOM, ""TICK""",6070
Clark,COUNTY COMMISSIONER DISTRICT E (DEMOCRATIC),"HERNANDEZ, MARCO",5889
Clark,COUNTY COMMISSIONER DISTRICT E (REPUBLICAN),"MARSH, TRISH",3113
Clark,COUNTY COMMISSIONER DISTRICT E (REPUBLICAN),"ROSE, RANDY",2262
Clark,COUNTY COMMISSIONER DISTRICT F (DEMOCRATIC),"JONES, JUSTIN",8663
Clark,COUNTY COMMISSIONER DISTRICT F (DEMOCRATIC),"HUNT, JASON",4475
Clark,COUNTY COMMISSIONER DISTRICT F (REPUBLICAN),"BLACK, TISHA",5696
Clark,COUNTY COMMISSIONER DISTRICT F (REPUBLICAN),"TRACY, MITCHELL T.",4472
Clark,COUNTY COMMISSIONER DISTRICT G (REPUBLICAN),"LAKE, CINDY",8545
Clark,COUNTY COMMISSIONER DISTRICT G (REPUBLICAN),"VAN DOVER, FRED",3337
Clark,DISTRICT ATTORNEY (DEMOCRATIC),"WOLFSON, STEVE (INCUMBENT)",54347
Clark,DISTRICT ATTORNEY (DEMOCRATIC),"LANGFORD, ROBERT L.",42958
Clark,COUNTY ASSESSOR (DEMOCRATIC),"JOHNSON, BRIANA",70532
Clark,COUNTY ASSESSOR (DEMOCRATIC),"CASINO, ANGELO",18128
Clark,COUNTY RECORDER (REPUBLICAN),"MACFARLANE, JILL",33556
Clark,COUNTY RECORDER (REPUBLICAN),"MOORE, JOHN",21393
Clark,COUNTY RECORDER (REPUBLICAN),"PARETTS, JAYSON",6189
Clark,COUNTY TREASURER (DEMOCRATIC),"FITZPATRICK, LAURA (INCUMBENT)",75278
Clark,COUNTY TREASURER (DEMOCRATIC),"O'SULLIVAN, KEN ""SULLY""",15157
Clark,COUNTY TREASURER (REPUBLICAN),"COLLINS, PHIL",50380
Clark,COUNTY TREASURER (REPUBLICAN),"QUILANG, RON Q.",10431
Clark,PUBLIC ADMINISTRATOR (REPUBLICAN),"MANFREDI, AARON",29518
Clark,PUBLIC ADMINISTRATOR (REPUBLICAN),"FOUGERE, THOMAS L.",29514
Clark,"CONSTABLE, MESQUITE TOWNSHIP (REPUBLICAN)","THURSTON, DUANE L. (INCUMBENT)",834
Clark,"CONSTABLE, MESQUITE TOWNSHIP (REPUBLICAN)","HUGHES, SHAWN L.",801
Clark,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP (DEMOCRATIC)","ELIASON, ROBERT L. (INCUMBENT)",4753
Clark,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP (DEMOCRATIC)","MARTIN, JON",3479
Clark,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP (DEMOCRATIC)","JAMES, SR., ISAAC C.",2988
Clark,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP (REPUBLICAN)","VEGA, JIMMY",2493
Clark,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP (REPUBLICAN)","ROUNDY, TRAVIS",2174
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D (NONPARTISAN)","CEPEDA, IRENE",5687
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D (NONPARTISAN)","CHILD, KEVIN L. (INCUMBENT)",2850
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D (NONPARTISAN)","THOMPSON, ELI",1836
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D (NONPARTISAN)","MARTINEZ, JR., LEOBARDO",1714
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","FORD, DANIELLE",4006
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","MILLER, KALI FOX",3379
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","GARDNER, DAVID",3287
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","TRUMBULL, JACQUELYN",3276
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","THOMAS, MIKE",3095
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","BALLINGER, MARY E.",2996
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","EADY, EILEEN",2470
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","MUSEMICI, TAMMI N.",1157
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NONPARTISAN)","WILSON, JOHNNY",1108
Clark,CLARK COUNTY SHERIFF (NONPARTISAN),"LOMBARDO, JOE (INCUMBENT)",139131
Clark,CLARK COUNTY SHERIFF (NONPARTISAN),"BEDWELL, TIM",29939
Clark,CLARK COUNTY SHERIFF (NONPARTISAN),"CALDWELL, MATT",10241
Clark,CLARK COUNTY SHERIFF (NONPARTISAN),"MARTINES, GORDON",8570
Clark,CLARK COUNTY SHERIFF (NONPARTISAN),"HEINY, GREGORY S.",3210
Clark,"JUSTICE OF THE PEACE, GOODSPRINGS TWNSH (NONPARTISAN)","SHUPE, LARRY",161
Clark,"JUSTICE OF THE PEACE, GOODSPRINGS TWNSH (NONPARTISAN)","CARTER, AMBER",115
Clark,"JUSTICE OF THE PEACE, GOODSPRINGS TWNSH (NONPARTISAN)","LEE, CHARLES",77
Clark,"JUSTICE OF THE PEACE, GOODSPRINGS TWNSH (NONPARTISAN)","CORTESE, GREGORY",52
Clark,"JUSTICE OF THE PEACE, GOODSPRINGS TWNSH (NONPARTISAN)","KOSTAS, SOCRATES",42
Clark,"JUSTICE OF THE PEACE, HENDERSON TWNSH DEPARTMENT 1 (NONPARTISAN)","BATEMAN, SAMUEL (INCUMBENT)",32662
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 1 (NONPARTISAN)","GRAHAM, ELANA LEE",53892
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 1 (NONPARTISAN)","LEAVITT, JAMES DEAN",40358
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 1 (NONPARTISAN)","GINN, VINCENT ""VINNY""",20333
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 2 (NONPARTISAN)","SCISCENTO, JOSEPH S. (INCUMBENT)",99066
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 5 (NONPARTISAN)","DUSTIN-CRUZ, CYNTHIA (INCUMBENT)",100551
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 8 (NONPARTISAN)","ZIMMERMAN, ANN E. (INCUMBENT)",101112
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 10 (NONPARTISAN)","ANDRESS-TOBIASSON, MELANIE (INCUMBENT)",99468
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 15 (NONPARTISAN)","DE LA GARZA, MELISA",57460
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 15 (NONPARTISAN)","ROGAN, JEFF",25817
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 15 (NONPARTISAN)","KURTH, ROBERT",17854
Clark,"JUSTICE OF THE PEACE, LAS VEGAS TWNSH DEPARTMENT 15 (NONPARTISAN)","FRIEDBERG, CRAIG B.",9470
Clark,"JUSTICE OF THE PEACE, LAUGHLIN TWNSH (NONPARTISAN)","ATKINS, TIM (INCUMBENT)",1015
Clark,"JUSTICE OF THE PEACE, MESQUITE TWNSH (NONPARTISAN)","TOONE, RYAN W. (INCUMBENT)",3207
Clark,"JUSTICE OF THE PEACE, MOAPA TWNSH (NONPARTISAN)","KOLHOSS, RUTH (INCUMBENT)",152
Clark,"JUSTICE OF THE PEACE, MOAPA VALLEY TWNSH (NONPARTISAN)","MILLS, GREGORY S.",803
Clark,"JUSTICE OF THE PEACE, MOAPA VALLEY TWNSH (NONPARTISAN)","WAITE, KYLE",660
Clark,"JUSTICE OF THE PEACE, MOAPA VALLEY TWNSH (NONPARTISAN)","SOLOMON, DRUE R.",64
Clark,"JUSTICE OF THE PEACE, NORTH LAS VEGAS TWNSH DEPARTMENT 1 (NONPARTISAN)","HOO, KALANI (INCUMBENT)",16279
Clark,"JUSTICE OF THE PEACE, NORTH LAS VEGAS TWNSH DEPARTMENT 2 (NONPARTISAN)","TYRRELL, NATALIE (INCUMBENT)",16870
Clark,"JUSTICE OF THE PEACE, SEARCHLIGHT TWNSH (NONPARTISAN)","HILL, RICHARD (INCUMBENT)",118
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 1 (NONPARTISAN),"WITHELDER, GENO (INCUMBENT)",1279
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 1 (NONPARTISAN),"RAMAKER, SANDRA",1258
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 1 (NONPARTISAN),"MERCER, L. KAY",946
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 4 (NONPARTISAN),"BLACK, ANN ""ANNIE""",1669
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 4 (NONPARTISAN),"FIELDING, KAREN",948
Clark,CITY OF MESQUITE COUNCILMEMBER SEAT 4 (NONPARTISAN),"KRUDER, CHUCK",901
Douglas,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",2306
Douglas,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,262
Douglas,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",125
Douglas,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",93
Douglas,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",84
Douglas,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",67
Douglas,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",48
Douglas,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",6033
Douglas,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",1795
Douglas,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,385
Douglas,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",210
Douglas,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",188
Douglas,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",50
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",633
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",630
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",546
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",352
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",253
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",201
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",6219
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",1543
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",659
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",101
Douglas,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",1375
Douglas,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",1253
Douglas,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,207
Douglas,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",63
Douglas,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",63
Douglas,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",30
Douglas,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",22
Douglas,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",6851
Douglas,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",687
Douglas,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,346
Douglas,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",335
Douglas,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",207
Douglas,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",162
Douglas,GOVERNOR (REPUBLICAN),"LUSAK, STAN",35
Douglas,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",22
Douglas,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",20
Douglas,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",2345
Douglas,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",294
Douglas,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,278
Douglas,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",4546
Douglas,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,1173
Douglas,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",1151
Douglas,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",829
Douglas,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",396
Douglas,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",280
Douglas,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",5145
Douglas,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",2005
Douglas,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,1071
Douglas,STATE TREASURER (REPUBLICAN),"BEERS, BOB",4942
Douglas,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",1971
Douglas,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,1229
Douglas,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",1950
Douglas,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",510
Douglas,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,409
Douglas,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",5103
Douglas,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",2362
Douglas,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,885
Douglas,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",3116
Douglas,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",3059
Douglas,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,1870
Douglas,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",1825
Douglas,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",1751
Douglas,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",627
Douglas,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)","DEL CARLO, CAROL (INCUMBENT)",10005
Douglas,DOUGLAS COUNTY ASSESSOR (REPUBLICAN),"THOLEN, TRENT",4222
Douglas,DOUGLAS COUNTY ASSESSOR (REPUBLICAN),"ETCHEGOYHEN, DION",4006
Douglas,COUNTY COMMISSIONER DISTRICT 2 (REPUBLICAN),"ENGELS, JOHN",4445
Douglas,COUNTY COMMISSIONER DISTRICT 2 (REPUBLICAN),"THALER, STEVEN (INCUMBENT)",4011
Douglas,COUNTY COMMISSIONER DISTRICT 4 (REPUBLICAN),"RICE, WESLEY A.",4420
Douglas,COUNTY COMMISSIONER DISTRICT 4 (REPUBLICAN),"MURPHY, JANET",3968
Douglas,COUNTY PUBLIC ADMINISTRATOR (REPUBLICAN),"WALSH, STEVE",4295
Douglas,COUNTY PUBLIC ADMINISTRATOR (REPUBLICAN),"LOGAN, DEBORAH ""DEBBIE""",3241
Douglas,"DOUGLAS SCHOOL BOARD, AREA 2 (NONPARTISAN)","LEHMANN, ROBBE (INCUMBENT)",10148
Douglas,"DOUGLAS SCHOOL BOARD, AREA 4 (NONPARTISAN)","KANGAS, CAREY (INCUMBENT)",10149
Douglas,"DOUGLAS SCHOOL BOARD, AREA 6 (NONPARTISAN)","MOORE, THOMAS",10106
Douglas,"DOUGLAS SCHOOL BOARD, AREA 7 (NONPARTISAN)","CHICHESTER, ROSS (INCUMBENT)",10405
Douglas,DOUGLAS COUNTY SHERIFF (NONPARTISAN),"COVERLEY, DAN",6954
Douglas,DOUGLAS COUNTY SHERIFF (NONPARTISAN),"DUFFY, JOE",3173
Douglas,DOUGLAS COUNTY SHERIFF (NONPARTISAN),"BRADY, DAVID J.",1971
Douglas,DOUGLAS COUNTY SHERIFF (NONPARTISAN),"PARIS, DEAN",830
Douglas,TAHOE TOWNSHIP JUSTICE OF THE PEACE (NONPARTISAN),"GLASSON, RICHARD (INCUMBENT)",948
Elko,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",489
Elko,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,156
Elko,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",66
Elko,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",59
Elko,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",49
Elko,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",40
Elko,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",31
Elko,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",2485
Elko,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",588
Elko,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,143
Elko,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",95
Elko,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",68
Elko,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",42
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",184
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",179
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",158
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",114
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",108
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",89
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",2325
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",740
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",277
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",39
Elko,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",409
Elko,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",225
Elko,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,120
Elko,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",62
Elko,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",55
Elko,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",19
Elko,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",13
Elko,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",2656
Elko,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",160
Elko,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",155
Elko,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",144
Elko,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",140
Elko,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,124
Elko,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",17
Elko,GOVERNOR (REPUBLICAN),"LUSAK, STAN",13
Elko,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",10
Elko,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",597
Elko,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",169
