county name,race name,candidate,party,early votes,election day votes,absentee votes,total votes
Baltimore City,"District 46
Republican Candidates ",Nicholas Wentworth,Republican,83,,0,652
Baltimore City,Democratic Candidates ,Luke Clippinger,Democratic,"1,345",,0,"6,523"
Baltimore City,Democratic Candidates ,Robbyn Lewis,Democratic,"1,346",,0,"6,341"
Baltimore City,Democratic Candidates ,Brooke Elizabeth Lierman,Democratic,"1,643",,0,"8,037"
Baltimore City,Democratic Candidates ,Nate Loewentheil,Democratic,725,,0,"3,908"
Baltimore City,Democratic Candidates ,Dea Thomas,Democratic,562,,0,"2,866"
Baltimore City,"Judge of the Circuit Court

Judicial Circuit 8
Republican Ballot ",Charles H. Dorsey,,338,,0,"1,860"
Baltimore City,"Judge of the Circuit Court

Judicial Circuit 8
Republican Ballot ",Lynn Stewart Mays,,310,,0,"1,740"
Baltimore City,"Judge of the Circuit Court

Judicial Circuit 8
Republican Ballot ",Dana Michele Middleton,,333,,0,"1,782"
Baltimore City,"Judge of the Circuit Court

Judicial Circuit 8
Republican Ballot ",John Nugent,,310,,0,"1,735"
Baltimore City,"Judge of the Circuit Court

Judicial Circuit 8
Republican Ballot ",Jennifer Bridget Schiffer,,320,,0,"1,757"
Baltimore City,Democratic Ballot ,Charles H. Dorsey,,"13,992",,0,"46,317"
Baltimore City,Democratic Ballot ,Lynn Stewart Mays,,"13,260",,0,"43,626"
Baltimore City,Democratic Ballot ,Dana Michele Middleton,,"13,799",,0,"45,460"
Baltimore City,Democratic Ballot ,John Nugent,,"12,378",,0,"40,415"
Baltimore City,Democratic Ballot ,Jennifer Bridget Schiffer,,"13,054",,0,"42,954"
Baltimore,"Governor / Lt. Governor

Republican Candidates ",Larry Hogan and Boyd K. Rutherford,Republican,"7,731",,0,"30,925"
Baltimore,Democratic Candidates ,"Rushern L. Baker, III and Elizabeth Embry",Democratic,"5,323",,0,"13,923"
Baltimore,Democratic Candidates ,Ralph Jaffe and Freda Jaffe,Democratic,399,,0,"1,496"
Baltimore,Democratic Candidates ,Ben Jealous and Susan Turnbull,Democratic,"11,247",,0,"32,669"
Baltimore,Democratic Candidates ,"James Hugh Jones, II and Charles S. Waters",Democratic,239,,0,967
Baltimore,Democratic Candidates ,Valerie Ervin and Marisol Johnson *,Democratic,"1,292",,0,"4,510"
Baltimore,Democratic Candidates ,Rich Madaleno and Luwanda Jenkins,Democratic,"1,054",,0,"3,028"
Baltimore,Democratic Candidates ,Alec Ross and Julie C. Verratti,Democratic,579,,0,"1,912"
Baltimore,Democratic Candidates ,Jim Shea and Brandon M. Scott,Democratic,"3,936",,0,"12,670"
Baltimore,Democratic Candidates ,Krish O'Mara Vignarajah and Sharon Y. Blake,Democratic,"2,083",,0,"7,422"
Baltimore,"Comptroller

Republican Candidates ",Anjali Reed Phukan,Republican,"5,947",,0,"24,145"
Baltimore,Democratic Candidates ,Peter Franchot,Democratic,"23,027",,0,"68,630"
Baltimore,"Attorney General

Republican Candidates ",Craig Wolf,Republican,"6,425",,0,"25,729"
Baltimore,Democratic Candidates ,Brian E. Frosh,Democratic,"22,533",,0,"66,776"
Baltimore,"U.S. Senator

Republican Candidates ",Tony Campbell,Republican,"2,140",,0,"9,140"
Baltimore,"U.S. Senator

Republican Candidates ",Chris Chaffee,Republican,970,,0,"3,861"
Baltimore,"U.S. Senator

Republican Candidates ",Evan M. Cronhardt,Republican,167,,0,690
Baltimore,"U.S. Senator

Republican Candidates ",Nnabu Eze,Republican,121,,0,499
Baltimore,"U.S. Senator

Republican Candidates ",John R. Graziani,Republican,742,,0,"2,903"
Baltimore,"U.S. Senator

Republican Candidates ",Christina J. Grigorian,Republican,998,,0,"4,182"
Baltimore,"U.S. Senator

Republican Candidates ",Albert Binyahmin Howard,Republican,129,,0,456
Baltimore,"U.S. Senator

Republican Candidates ",Bill Krehnbrink,Republican,167,,0,591
Baltimore,"U.S. Senator

Republican Candidates ","Gerald I. Smith, Jr.",Republican,243,,0,986
Baltimore,"U.S. Senator

Republican Candidates ",Blaine Taylor,Republican,392,,0,"1,354"
Baltimore,"U.S. Senator

Republican Candidates ",Brian Charles Vaeth,Republican,385,,0,"1,412"
Baltimore,Democratic Candidates ,Ben Cardin,Democratic,"22,852",,0,"65,062"
Baltimore,Democratic Candidates ,Erik Jetmir,Democratic,282,,0,"1,148"
Baltimore,Democratic Candidates ,Chelsea Manning,Democratic,"1,022",,0,"4,009"
Baltimore,Democratic Candidates ,Marcia H. Morgan,Democratic,494,,0,"1,740"
Baltimore,Democratic Candidates ,"Jerome ""Jerry"" Segal",Democratic,744,,0,"3,127"
Baltimore,Democratic Candidates ,"Richard ""Rikki"" Vaughn",Democratic,331,,0,"1,375"
Baltimore,Democratic Candidates ,"Debbie ""Rica"" Wilson",Democratic,557,,0,"2,119"
Baltimore,Democratic Candidates ,Lih Young,Democratic,389,,0,"1,429"
Baltimore,"Representative in Congress

District 1
Republican Candidates ",Martin Elborn,Republican,103,,0,360
Baltimore,"Representative in Congress

District 1
Republican Candidates ",Andy Harris,Republican,"1,353",,0,"4,394"
Baltimore,"Representative in Congress

District 1
Republican Candidates ",Lamont Taylor,Republican,49,,0,151
Baltimore,Democratic Candidates ,Michael Brown,Democratic,191,,0,591
Baltimore,Democratic Candidates ,Jesse Colvin,Democratic,443,,0,"1,208"
Baltimore,Democratic Candidates ,Allison Galbraith,Democratic,420,,0,"1,346"
Baltimore,Democratic Candidates ,Erik Lane,Democratic,29,,0,113
Baltimore,Democratic Candidates ,Michael Pullen,Democratic,103,,0,325
Baltimore,Democratic Candidates ,Steve Worton,Democratic,70,,0,207
Baltimore,"District 2
Republican Candidates ",Liz Matory,Republican,"1,188",,0,"4,828"
Baltimore,"District 2
Republican Candidates ","Hubert Owens, Jr.",Republican,427,,0,"1,905"
Baltimore,"District 2
Republican Candidates ",Mark Shell,Republican,613,,0,"2,761"
Baltimore,"District 2
Republican Candidates ","Mitchell J. Toland, Jr.",Republican,479,,0,"2,135"
Baltimore,Democratic Candidates ,Jake Pretot,Democratic,"1,860",,0,"7,360"
Baltimore,Democratic Candidates ,C.A. Dutch Ruppersberger,Democratic,"10,591",,0,"30,215"
Baltimore,"District 3
Republican Candidates ",Charles Anthony,Republican,350,,0,"1,479"
Baltimore,"District 3
Republican Candidates ","Thomas E. ""Pinkston"" Harris",Republican,337,,0,"1,393"
Baltimore,"District 3
Republican Candidates ",Rob Seyfferth,Republican,162,,0,738
Baltimore,Democratic Candidates ,Adam D. DeMarco,Democratic,307,,0,"1,192"
Baltimore,Democratic Candidates ,John Rea,Democratic,104,,0,445
Baltimore,Democratic Candidates ,Eduardo Rosas,Democratic,139,,0,627
Baltimore,Democratic Candidates ,John Sarbanes,Democratic,"3,661",,0,"12,162"
Baltimore,"District 7
Republican Candidates ",Ray Bly,Republican,216,,0,889
Baltimore,"District 7
Republican Candidates ",Richmond Davis,Republican,350,,0,"1,312"
Baltimore,"District 7
Republican Candidates ",William T. Newton,Republican,288,,0,"1,170"
Baltimore,"District 7
Republican Candidates ",Michael Pearson,Republican,402,,0,"1,624"
Baltimore,Democratic Candidates ,"Anthony Carter, Sr.",Democratic,188,,0,629
Baltimore,Democratic Candidates ,Elijah Cummings,Democratic,"7,707",,0,"20,721"
Baltimore,Democratic Candidates ,John Moser,Democratic,220,,0,770
Baltimore,Democratic Candidates ,Charles U. Smith,Democratic,88,,0,275
Baltimore,Democratic Candidates ,Charles Stokes,Democratic,197,,0,585
Baltimore,"State Senator

District 6
Republican Candidates ",Janice Lee Dymowski,Republican,244,,0,"1,038"
Baltimore,"State Senator

District 6
Republican Candidates ",Johnny R. Salling,Republican,673,,0,"3,168"
Baltimore,Democratic Candidates ,"Russ ""No Tax"" Mirabile",Democratic,650,,0,"2,568"
Baltimore,Democratic Candidates ,Buddy Staigerwald,Democratic,816,,0,"2,988"
Baltimore,"District 7
Republican Candidates ",J. B. Jennings,Republican,"1,247",,0,"4,433"
Baltimore,Democratic Candidates ,Donna Hines,Democratic,"1,048",,0,"3,324"
Baltimore,"District 8
Republican Candidates ",Christian Miele,Republican,"1,545",,0,"5,346"
Baltimore,Democratic Candidates ,Max Davidson,Democratic,295,,0,"1,154"
Baltimore,Democratic Candidates ,Katherine Klausmeier,Democratic,"2,315",,0,"8,207"
Baltimore,"District 10
Republican Candidates ",Stephanie Boston,Republican,475,,0,"1,460"
Baltimore,Democratic Candidates ,Rob Johnson,Democratic,"1,501",,0,"3,396"
Baltimore,Democratic Candidates ,Delores G. Kelley,Democratic,"4,558",,0,"10,215"
Baltimore,Democratic Candidates ,Lawrence Williams,Democratic,742,,0,"1,820"
Baltimore,"District 11
Democratic Candidates ",Sheldon H. Laskin,Democratic,"1,441",,0,"4,604"
Baltimore,"District 11
Democratic Candidates ",Bobby A. Zirkin,Democratic,"3,574",,0,"10,913"
Baltimore,"District 12
Republican Candidates ","Joseph D. ""Joe"" Hooe",Republican,426,,0,"1,739"
Baltimore,Democratic Candidates ,Clarence K. Lam,Democratic,939,,0,"2,773"
Baltimore,Democratic Candidates ,Mary Kay Sigaty,Democratic,331,,0,"1,366"
Baltimore,"District 42
Republican Candidates ",Chris West,Republican,"1,356",,0,"6,302"
Baltimore,Democratic Candidates ,Robbie Leonard,Democratic,"1,773",,0,"6,512"
Baltimore,Democratic Candidates ,Gretchen Maneval,Democratic,"1,110",,0,"4,353"
Baltimore,"District 44
Republican Candidates ","Victor Clark, Jr.",Republican,242,,0,968
Baltimore,Democratic Candidates ,Aletheia McCaskill,Democratic,"1,323",,0,"3,504"
Baltimore,Democratic Candidates ,Shirley Nathan-Pulliam,Democratic,"2,834",,0,"7,652"
Baltimore,"House of Delegates

District 6
Republican Candidates ",Robin L. Grammer,Republican,652,,0,"2,890"
Baltimore,"House of Delegates

District 6
Republican Candidates ",Bob Long,Republican,739,,0,"3,296"
Baltimore,"House of Delegates

District 6
Republican Candidates ",Ric Metzgar,Republican,735,,0,"3,267"
Baltimore,"House of Delegates

District 6
Republican Candidates ",Jake Mohorovic,Republican,302,,0,"1,302"
Baltimore,Democratic Candidates ,Jonathan H. Campbell,Democratic,448,,0,"1,603"
Baltimore,Democratic Candidates ,"Nicholas C. D'Adamo, Jr.",Democratic,914,,0,"3,448"
Baltimore,Democratic Candidates ,Diane DeCarlo,Democratic,842,,0,"3,121"
Baltimore,Democratic Candidates ,Justin Holliday,Democratic,560,,0,"1,865"
Baltimore,Democratic Candidates ,Megan Ann Mioduszewski,Democratic,871,,0,"3,263"
Baltimore,"District 7
Republican Candidates ",Lauren Arikan,Republican,441,,0,"1,947"
Baltimore,"District 7
Republican Candidates ",Joshua Barlow,Republican,180,,0,662
Baltimore,"District 7
Republican Candidates ","Russ English, Jr.",Republican,34,,0,182
Baltimore,"District 7
Republican Candidates ",Michael A. Geppi,Republican,213,,0,782
Baltimore,"District 7
Republican Candidates ",Norm Gifford,Republican,29,,0,117
Baltimore,"District 7
Republican Candidates ",Rick Impallaria,Republican,653,,0,"2,013"
Baltimore,"District 7
Republican Candidates ",Tammy Larkin,Republican,232,,0,988
Baltimore,"District 7
Republican Candidates ",Trevor Leach,Republican,20,,0,66
Baltimore,"District 7
Republican Candidates ",Bill Paulshock,Republican,523,,0,"1,689"
Baltimore,"District 7
Republican Candidates ",Aaron Penman,Republican,285,,0,"1,058"
Baltimore,"District 7
Republican Candidates ",David Seman,Republican,195,,0,685
Baltimore,"District 7
Republican Candidates ",Angela Sudano-Marcellino,Republican,60,,0,258
Baltimore,"District 7
Republican Candidates ",Kathy Szeliga,Republican,955,,0,"3,330"
Baltimore,Democratic Candidates ,Allison Berkowitz,Democratic,973,,0,"3,103"
Baltimore,Democratic Candidates ,Gordon Koerner,Democratic,859,,0,"2,687"
Baltimore,"District 8
Republican Candidates ",Ben Boehl,Republican,327,,0,"1,209"
Baltimore,"District 8
Republican Candidates ","Joseph C. Boteler, III",Republican,866,,0,"2,925"
Baltimore,"District 8
Republican Candidates ",Joe Cluster,Republican,"1,034",,0,"3,477"
Baltimore,"District 8
Republican Candidates ",Kevin Leary,Republican,432,,0,"1,543"
Baltimore,"District 8
Republican Candidates ",Joe Norman,Republican,809,,0,"2,553"
Baltimore,"District 8
Republican Candidates ",Norma Secoura,Republican,463,,0,"1,735"
Baltimore,"District 8
Republican Candidates ",Jared Wineberg,Republican,98,,0,388
Baltimore,Democratic Candidates ,Harry Bhandari,Democratic,"1,586",,0,"5,765"
Baltimore,Democratic Candidates ,Eric Bromwell,Democratic,"1,916",,0,"6,387"
Baltimore,Democratic Candidates ,Carl Jackson,Democratic,"1,439",,0,"5,056"
Baltimore,Democratic Candidates ,Joe Werner,Democratic,920,,0,"3,219"
Baltimore,"District 10
Republican Candidates ","Michael Tyrone Brown, Sr.",Republican,199,,0,591
Baltimore,"District 10
Republican Candidates ",George H. Harman,Republican,354,,0,"1,106"
Baltimore,"District 10
Republican Candidates ",Matthew Kaliszak,Republican,277,,0,872
Baltimore,"District 10
Republican Candidates ",Brian Marcos,Republican,302,,0,942
Baltimore,Democratic Candidates ,Benjamin Brooks,Democratic,"4,242",,0,"9,351"
Baltimore,Democratic Candidates ,"Nathaniel M. Costley, Sr.",Democratic,802,,0,"1,862"
Baltimore,Democratic Candidates ,Jay Jalisi,Democratic,"4,795",,0,"10,548"
Baltimore,Democratic Candidates ,Adrienne A. Jones,Democratic,"4,955",,0,"10,707"
Baltimore,Democratic Candidates ,Lauren Lipscomb,Democratic,"1,835",,0,"4,435"
Baltimore,Democratic Candidates ,Jordan F. Porompyae,Democratic,402,,0,874
Baltimore,"District 11
Republican Candidates ",Jonathan Porter,Republican,613,,0,"2,669"
Baltimore,Democratic Candidates ,Amy Blank,Democratic,"1,760",,0,"5,948"
Baltimore,Democratic Candidates ,Jon S. Cardin,Democratic,"3,076",,0,"9,314"
Baltimore,Democratic Candidates ,Linda Dorsey-Walker,Democratic,"1,069",,0,"3,192"
Baltimore,Democratic Candidates ,Shelly Hettleman,Democratic,"3,550",,0,"10,597"
Baltimore,Democratic Candidates ,Kate Skovron,Democratic,353,,0,"1,139"
Baltimore,Democratic Candidates ,Dana Stein,Democratic,"3,210",,0,"9,375"
Baltimore,"District 12
Republican Candidates ",Bob Cockey,Republican,363,,0,"1,440"
Baltimore,"District 12
Republican Candidates ",Melanie Harris,Republican,388,,0,"1,532"
Baltimore,"District 12
Republican Candidates ",Michael Russell,Republican,347,,0,"1,388"
Baltimore,Democratic Candidates ,Jonathan Bratt,Democratic,84,,0,361
Baltimore,Democratic Candidates ,Dario J. Broccolino,Democratic,175,,0,554
Baltimore,Democratic Candidates ,Eric Ebersole,Democratic,983,,0,"2,910"
Baltimore,Democratic Candidates ,Jessica Feldmark,Democratic,590,,0,"1,922"
Baltimore,Democratic Candidates ,Malcolm J. Heflin,Democratic,81,,0,293
Baltimore,Democratic Candidates ,Terri Hill,Democratic,946,,0,"2,801"
Baltimore,Democratic Candidates ,James Howard,Democratic,102,,0,380
Baltimore,Democratic Candidates ,Mark Weaver,Democratic,351,,0,"1,084"
Baltimore,"District 42A
Republican Candidates ",Stephen A. McIntire,Republican,258,,0,"1,048"
Baltimore,Democratic Candidates ,Stephen Lafferty,Democratic,"1,227",,0,"4,272"
Baltimore,"District 42B
Republican Candidates ",Raymond C. Boccelli,Republican,310,,0,"1,498"
Baltimore,"District 42B
Republican Candidates ",Justin Kinsey,Republican,151,,0,"1,052"
Baltimore,"District 42B
Republican Candidates ",Nino Mangione,Republican,893,,0,"4,069"
Baltimore,"District 42B
Republican Candidates ",Tim Robinson,Republican,704,,0,"3,198"
Baltimore,Democratic Candidates ,Michele Guyton,Democratic,"1,361",,0,"5,217"
Baltimore,Democratic Candidates ,Sachin Hebbar,Democratic,835,,0,"3,054"
Baltimore,Democratic Candidates ,Daniel Nemec,Democratic,604,,0,"2,476"
Baltimore,"District 44B
Democratic Candidates ",Aaron J. Barnett,Democratic,"1,545",,0,"3,432"
Baltimore,"District 44B
Democratic Candidates ",Bishop Barry Chapman,Democratic,466,,0,"1,307"
Baltimore,"District 44B
Democratic Candidates ",Aisha Khan,Democratic,"1,202",,0,"3,985"
Baltimore,"District 44B
Democratic Candidates ","Charles E. Sydnor, III",Democratic,"2,180",,0,"5,516"
Baltimore,"District 44B
Democratic Candidates ",Pat Young,Democratic,"1,844",,0,"4,958"
Baltimore,"Judge of the Circuit Court

Judicial Circuit 3
Republican Ballot ",Robert A. Cohen,,"3,164",,0,"12,555"
Baltimore,"Judge of the Circuit Court

Judicial Circuit 3
Republican Ballot ",Carey Deeley,,"4,461",,0,"17,346"
Baltimore,"Judge of the Circuit Court

Judicial Circuit 3
Republican Ballot ",Michael Finifter,,"4,513",,0,"17,429"
Baltimore,"Judge of the Circuit Court

Judicial Circuit 3
Republican Ballot ",Ruth Jakubowski,,"4,953",,0,"19,105"
Baltimore,"Judge of the Circuit Court

Judicial Circuit 3
Republican Ballot ",Dennis Robinson,,"4,782",,0,"18,578"
Baltimore,Democratic Ballot ,Robert A. Cohen,,"11,876",,0,"34,399"
Baltimore,Democratic Ballot ,Carey Deeley,,"15,260",,0,"44,210"
Baltimore,Democratic Ballot ,Michael Finifter,,"14,439",,0,"40,443"
Baltimore,Democratic Ballot ,Ruth Jakubowski,,"18,337",,0,"53,020"
Baltimore,Democratic Ballot ,Dennis Robinson,,"16,254",,0,"45,799"
Calvert,"Governor / Lt. Governor

Republican Candidates ",Larry Hogan and Boyd K. Rutherford,Republican,"1,520",,0,"8,298"
Calvert,Democratic Candidates ,"Rushern L. Baker, III and Elizabeth Embry",Democratic,383,,0,"1,717"
Calvert,Democratic Candidates ,Ralph Jaffe and Freda Jaffe,Democratic,25,,0,182
Calvert,Democratic Candidates ,Ben Jealous and Susan Turnbull,Democratic,337,,0,"1,669"
Calvert,Democratic Candidates ,"James Hugh Jones, II and Charles S. Waters",Democratic,24,,0,161
Calvert,Democratic Candidates ,Valerie Ervin and Marisol Johnson *,Democratic,60,,0,310
Calvert,Democratic Candidates ,Rich Madaleno and Luwanda Jenkins,Democratic,72,,0,266
Calvert,Democratic Candidates ,Alec Ross and Julie C. Verratti,Democratic,42,,0,209
Calvert,Democratic Candidates ,Jim Shea and Brandon M. Scott,Democratic,61,,0,315
Calvert,Democratic Candidates ,Krish O'Mara Vignarajah and Sharon Y. Blake,Democratic,134,,0,635
Calvert,"Comptroller

Republican Candidates ",Anjali Reed Phukan,Republican,"1,006",,0,"5,982"
Calvert,Democratic Candidates ,Peter Franchot,Democratic,"1,037",,0,"4,931"
Calvert,"Attorney General

Republican Candidates ",Craig Wolf,Republican,"1,060",,0,"6,287"
Calvert,Democratic Candidates ,Brian E. Frosh,Democratic,"1,036",,0,"4,817"
Calvert,"U.S. Senator

Republican Candidates ",Tony Campbell,Republican,203,,0,"1,185"
Calvert,"U.S. Senator

Republican Candidates ",Chris Chaffee,Republican,811,,0,"4,145"
Calvert,"U.S. Senator

Republican Candidates ",Evan M. Cronhardt,Republican,25,,0,148
Calvert,"U.S. Senator

Republican Candidates ",Nnabu Eze,Republican,8,,0,51
Calvert,"U.S. Senator

Republican Candidates ",John R. Graziani,Republican,24,,0,225
Calvert,"U.S. Senator

Republican Candidates ",Christina J. Grigorian,Republican,117,,0,736
Calvert,"U.S. Senator

Republican Candidates ",Albert Binyahmin Howard,Republican,3,,0,39
Calvert,"U.S. Senator

Republican Candidates ",Bill Krehnbrink,Republican,18,,0,96
Calvert,"U.S. Senator

Republican Candidates ","Gerald I. Smith, Jr.",Republican,24,,0,176
Calvert,"U.S. Senator

Republican Candidates ",Blaine Taylor,Republican,16,,0,159
Calvert,"U.S. Senator

Republican Candidates ",Brian Charles Vaeth,Republican,19,,0,129
Calvert,Democratic Candidates ,Ben Cardin,Democratic,990,,0,"4,267"
Calvert,Democratic Candidates ,Erik Jetmir,Democratic,23,,0,107
Calvert,Democratic Candidates ,Chelsea Manning,Democratic,61,,0,431
Calvert,Democratic Candidates ,Marcia H. Morgan,Democratic,31,,0,232
Calvert,Democratic Candidates ,"Jerome ""Jerry"" Segal",Democratic,26,,0,212
Calvert,Democratic Candidates ,"Richard ""Rikki"" Vaughn",Democratic,13,,0,107
Calvert,Democratic Candidates ,"Debbie ""Rica"" Wilson",Democratic,41,,0,256
Calvert,Democratic Candidates ,Lih Young,Democratic,20,,0,130
Calvert,"Representative in Congress

District 5
Republican Candidates ","William A. Devine, III",Republican,626,,0,"3,590"
Calvert,"Representative in Congress

District 5
Republican Candidates ",Johnny Rice,Republican,401,,0,"2,521"
Calvert,Democratic Candidates ,Dennis L. Fritz,Democratic,158,,0,"1,062"
Calvert,Democratic Candidates ,Steny H. Hoyer,Democratic,"1,090",,0,"4,920"
Calvert,"State Senator

District 27
Republican Candidates ","Roussan ""Rou"" Etienne, Jr.",Republican,205,,0,"1,120"
Calvert,"State Senator

District 27
Republican Candidates ",Jesse Allen Peed,Republican,815,,0,"4,150"
Calvert,Democratic Candidates ,Tommi Makila,Democratic,231,,0,"1,144"
Calvert,Democratic Candidates ,"Thomas V. Mike Miller, Jr.",Democratic,813,,0,"3,489"
Calvert,"District 29
Republican Candidates ",Jack Bailey,Republican,92,,0,733
Calvert,"District 29
Republican Candidates ",Steve Waugh,Republican,123,,0,962
Calvert,Democratic Candidates ,Thomas Brewer,Democratic,156,,0,"1,043"
Calvert,"House of Delegates

District 27B
Republican Candidates ",Philip A. Parenti,Republican,168,,0,942
Calvert,"House of Delegates

District 27B
Republican Candidates ",Michael A. Thomas,Republican,238,,0,"1,296"
Calvert,Democratic Candidates ,Michael A. Jackson,Democratic,294,,0,"1,412"
Calvert,"District 27C
Republican Candidates ",Mark N. Fisher,Republican,688,,0,"3,415"
Calvert,Democratic Candidates ,Jason T. Fowler,Democratic,594,,0,"2,410"
Calvert,"District 29C
Republican Candidates ","Gerald W. ""Jerry"" Clark",Republican,143,,0,"1,292"
Calvert,Democratic Candidates ,Julia Margaret Nichols,Democratic,166,,0,"1,054"
Caroline,"Governor / Lt. Governor

Republican Candidates ",Larry Hogan and Boyd K. Rutherford,Republican,702,,0,"2,874"
Caroline,Democratic Candidates ,"Rushern L. Baker, III and Elizabeth Embry",Democratic,49,,0,198
Caroline,Democratic Candidates ,Ralph Jaffe and Freda Jaffe,Democratic,17,,0,54
Caroline,Democratic Candidates ,Ben Jealous and Susan Turnbull,Democratic,137,,0,437
Caroline,Democratic Candidates ,"James Hugh Jones, II and Charles S. Waters",Democratic,8,,0,41
Caroline,Democratic Candidates ,Valerie Ervin and Marisol Johnson *,Democratic,22,,0,72
Caroline,Democratic Candidates ,Rich Madaleno and Luwanda Jenkins,Democratic,12,,0,67
Caroline,Democratic Candidates ,Alec Ross and Julie C. Verratti,Democratic,9,,0,58
Caroline,Democratic Candidates ,Jim Shea and Brandon M. Scott,Democratic,56,,0,164
Caroline,Democratic Candidates ,Krish O'Mara Vignarajah and Sharon Y. Blake,Democratic,29,,0,128
Caroline,"Comptroller

Republican Candidates ",Anjali Reed Phukan,Republican,491,,0,"2,056"
Caroline,Democratic Candidates ,Peter Franchot,Democratic,344,,0,"1,231"
Caroline,"Attorney General

Republican Candidates ",Craig Wolf,Republican,546,,0,"2,227"
Caroline,Democratic Candidates ,Brian E. Frosh,Democratic,319,,0,"1,129"
Caroline,"U.S. Senator

Republican Candidates ",Tony Campbell,Republican,132,,0,582
Caroline,"U.S. Senator

Republican Candidates ",Chris Chaffee,Republican,119,,0,563
Caroline,"U.S. Senator

Republican Candidates ",Evan M. Cronhardt,Republican,12,,0,37
Caroline,"U.S. Senator

Republican Candidates ",Nnabu Eze,Republican,8,,0,29
Caroline,"U.S. Senator

Republican Candidates ",John R. Graziani,Republican,44,,0,172
Caroline,"U.S. Senator

Republican Candidates ",Christina J. Grigorian,Republican,85,,0,354
Caroline,"U.S. Senator

Republican Candidates ",Albert Binyahmin Howard,Republican,6,,0,31
Caroline,"U.S. Senator

Republican Candidates ",Bill Krehnbrink,Republican,19,,0,66
Caroline,"U.S. Senator

Republican Candidates ","Gerald I. Smith, Jr.",Republican,41,,0,132
Caroline,"U.S. Senator

Republican Candidates ",Blaine Taylor,Republican,23,,0,99
Caroline,"U.S. Senator

Republican Candidates ",Brian Charles Vaeth,Republican,5,,0,43
Caroline,Democratic Candidates ,Ben Cardin,Democratic,304,,0,"1,025"
Caroline,Democratic Candidates ,Erik Jetmir,Democratic,5,,0,27
Caroline,Democratic Candidates ,Chelsea Manning,Democratic,16,,0,85
Caroline,Democratic Candidates ,Marcia H. Morgan,Democratic,13,,0,54
Caroline,Democratic Candidates ,"Jerome ""Jerry"" Segal",Democratic,8,,0,51
Caroline,Democratic Candidates ,"Richard ""Rikki"" Vaughn",Democratic,5,,0,27
Caroline,Democratic Candidates ,"Debbie ""Rica"" Wilson",Democratic,13,,0,48
Caroline,Democratic Candidates ,Lih Young,Democratic,5,,0,35
Caroline,"Representative in Congress

District 1
Republican Candidates ",Martin Elborn,Republican,61,,0,272
Caroline,"Representative in Congress

District 1
Republican Candidates ",Andy Harris,Republican,601,,0,"2,454"
Caroline,"Representative in Congress

District 1
Republican Candidates ",Lamont Taylor,Republican,35,,0,114
Caroline,Democratic Candidates ,Michael Brown,Democratic,52,,0,277
Caroline,Democratic Candidates ,Jesse Colvin,Democratic,107,,0,352
Caroline,Democratic Candidates ,Allison Galbraith,Democratic,64,,0,221
Caroline,Democratic Candidates ,Erik Lane,Democratic,4,,0,39
Caroline,Democratic Candidates ,Michael Pullen,Democratic,102,,0,319
Caroline,Democratic Candidates ,Steve Worton,Democratic,12,,0,60
Caroline,"State Senator

District 36
Republican Candidates ","Stephen S. Hershey, Jr.",Republican,578,,0,"1,905"
Caroline,Democratic Candidates ,Heather Lynette Sinclair,Democratic,267,,0,831
Caroline,"District 37
Republican Candidates ","Adelaide ""Addie"" Eckardt",Republican,54,,0,580
Caroline,Democratic Candidates ,Holly Wright,Democratic,33,,0,258
Caroline,"House of Delegates

District 36
Republican Candidates ",Jeff Ghrist (Caroline County),Republican,589,,0,"2,038"
Caroline,"House of Delegates

District 36
Republican Candidates ","Michael D. Smigiel, Jr. (Cecil County)",Republican,112,,0,367
Caroline,"House of Delegates

District 36
Republican Candidates ",Jay A. Jacobs (Kent County),Republican,383,,0,"1,208"
Caroline,"House of Delegates

District 36
Republican Candidates ",Steven James Arentz (Queen Anne's County),Republican,338,,0,"1,074"
Caroline,"House of Delegates

District 36
Republican Candidates ",Rick Bowers (Queen Anne's County),Republican,94,,0,361
Caroline,"House of Delegates

District 36
Republican Candidates ",Wick Dudley (Queen Anne's County),Republican,87,,0,329
Caroline,"Caroline County
Democratic Candidates ",Keirien Taylor,Democratic,280,,0,859
Caroline,"Cecil County
Democratic Candidates ",Michael Ian Welker,Democratic,223,,0,699
Caroline,"Queen Anne's County
Democratic Candidates ",Crystal Woodward,Democratic,219,,0,695
Caroline,"District 37B
Republican Candidates ","Christopher T. Adams
(Wicomico County)",Republican,32,,0,306
Caroline,"District 37B
Republican Candidates ","Mimi Gedamu
(Wicomico County)",Republican,4,,0,27
Caroline,"District 37B
Republican Candidates ","Keith Graffius
(Dorchester County)",Republican,16,,0,202
Caroline,"District 37B
Republican Candidates ","Johnny Mautz
(Talbot County)",Republican,49,,0,551
Caroline,Democratic Candidates ,"Dan O'Hare
(Wicomico County)",Democratic,33,,0,248
Caroline,"Judge of the Circuit Court

Judicial Circuit 2
Republican Ballot ",Dennis Farina,,270,,0,"1,105"
Caroline,"Judge of the Circuit Court

Judicial Circuit 2
Republican Ballot ",Jonathan G. Newell,,456,,0,"1,846"
Caroline,Democratic Ballot ,Dennis Farina,,230,,0,723
Caroline,Democratic Ballot ,Jonathan G. Newell,,158,,0,662
