county,race,party,candidate,votes
Clay,U.S. Representative - District 6,Democratic,Winston Apple,"4,271"
Clay,U.S. Representative - District 6,Democratic,Henry Robert Martin,"5,192"
Clay,U.S. Representative - District 6,Democratic,Ed Andres,"3,552"
Clay,U.S. Representative - District 6,Libertarian,Dan Hogan,113
Clay,State Senator - District 12,Republican,Dan Hegeman,"5,101"
Clay,State Senator - District 12,Democratic,Terry Richard,"3,546"
Clay,State Representative - District 8,Republican,James W. (Jim) Neely,456
Clay,State Representative - District 8,Democratic,Caleb McKnight,279
Clay,State Representative - District 12,Republican,Kenneth Wilson,"3,074"
Clay,State Representative - District 12,Democratic,Sandy Van Wagner,"2,368"
Clay,State Representative - District 14,Republican,Kevin Corlew,46
Clay,State Representative - District 14,Democratic,Matt Sain,116
Clay,State Representative - District 15,Republican,Steve West,"1,485"
Clay,State Representative - District 15,Republican,Simon T Abela,422
Clay,State Representative - District 15,Republican,Timothy Harris,733
Clay,State Representative - District 15,Republican,J. Ranen Bechthold,363
Clay,State Representative - District 15,Democratic,Jon Carpenter,"3,757"
Clay,State Representative - District 16,Republican,Noel J Shull,"3,765"
Clay,State Representative - District 16,Democratic,Tom Gorenc,"3,606"
Clay,State Representative - District 17,Republican,Mary Hill,"2,769"
Clay,State Representative - District 17,Democratic,Mark Ellebracht,"3,640"
Clay,State Representative - District 18,Republican,Sarah Mills,"2,339"
Clay,State Representative - District 18,Democratic,Wes Rogers,"3,938"
Clay,State Representative - District 38,Republican,Doug Richey,"3,778"
Clay,State Representative - District 38,Democratic,Abby Zavos,"3,040"
Clinton,U.S. Senator,Republican,Tony Monetti,335
Clinton,U.S. Senator,Republican,Austin Petersen,239
Clinton,U.S. Senator,Republican,Josh Hawley,"1,641"
Clinton,U.S. Senator,Republican,Fred Ryman,45
Clinton,U.S. Senator,Republican,Christina Smith,173
Clinton,U.S. Senator,Republican,Kristi Nichols,290
Clinton,U.S. Senator,Republican,Bradley Krembs,36
Clinton,U.S. Senator,Republican,Ken Patterson,119
Clinton,U.S. Senator,Republican,Brian G. Hagg,51
Clinton,U.S. Senator,Republican,Courtland Sykes,46
Clinton,U.S. Senator,Republican,Peter Pfeifer,74
Clinton,U.S. Senator,Democratic,Carla (Coffee) Wright,125
Clinton,U.S. Senator,Democratic,Angelica Earl,54
Clinton,U.S. Senator,Democratic,Leonard Joseph Steinman II,44
Clinton,U.S. Senator,Democratic,John Hogan,108
Clinton,U.S. Senator,Democratic,Travis Gonzalez,44
Clinton,U.S. Senator,Democratic,David Faust,56
Clinton,U.S. Senator,Democratic,Claire McCaskill,"1,293"
Clinton,U.S. Senator,Libertarian,Japheth Campbell,26
Clinton,U.S. Senator,Green,Jo Crain,2
Clinton,U.S. Senator,Green,Jerome Bauer,2
Clinton,State Auditor,Republican,Kevin M. Roach,778
Clinton,State Auditor,Republican,David Wasinger,517
Clinton,State Auditor,Republican,Paul Curtman,361
Clinton,State Auditor,Republican,Saundra McDowell,"1,099"
Clinton,State Auditor,Democratic,Nicole Galloway,"1,461"
Clinton,State Auditor,Libertarian,Sean O'Toole,26
Clinton,State Auditor,Green,Don Fitz,4
Clinton,State Auditor,Constitution,Jacob Luetkemeyer,6
Clinton,U.S. Representative - District 6,Republican,Sam Graves,"2,838"
Clinton,U.S. Representative - District 6,Democratic,Winston Apple,497
Clinton,U.S. Representative - District 6,Democratic,Henry Robert Martin,695
Clinton,U.S. Representative - District 6,Democratic,Ed Andres,354
Clinton,U.S. Representative - District 6,Libertarian,Dan Hogan,26
Clinton,State Senator - District 12,Republican,Dan Hegeman,"2,680"
Clinton,State Senator - District 12,Democratic,Terry Richard,"1,489"
Clinton,State Representative - District 8,Republican,James W. (Jim) Neely,"2,789"
Clinton,State Representative - District 8,Democratic,Caleb McKnight,"1,498"
Clinton,Circuit Judge - Circuit 43 Division 1,Republican,Tom Chapman,"2,614"
Clinton,Circuit Judge - Circuit 43 Division 2,Republican,Ryan W. Horsman,"2,553"
Clinton,Circuit Judge - Circuit 43 Division 2,Democratic,Brent Elliott,"1,492"
Cole,U.S. Senator,Republican,Tony Monetti,796
Cole,U.S. Senator,Republican,Austin Petersen,"1,815"
Cole,U.S. Senator,Republican,Josh Hawley,"8,458"
Cole,U.S. Senator,Republican,Fred Ryman,150
Cole,U.S. Senator,Republican,Christina Smith,769
Cole,U.S. Senator,Republican,Kristi Nichols,973
Cole,U.S. Senator,Republican,Bradley Krembs,80
Cole,U.S. Senator,Republican,Ken Patterson,421
Cole,U.S. Senator,Republican,Brian G. Hagg,88
Cole,U.S. Senator,Republican,Courtland Sykes,234
Cole,U.S. Senator,Republican,Peter Pfeifer,286
Cole,U.S. Senator,Democratic,Carla (Coffee) Wright,252
Cole,U.S. Senator,Democratic,Angelica Earl,141
Cole,U.S. Senator,Democratic,Leonard Joseph Steinman II,137
Cole,U.S. Senator,Democratic,John Hogan,87
Cole,U.S. Senator,Democratic,Travis Gonzalez,76
Cole,U.S. Senator,Democratic,David Faust,88
Cole,U.S. Senator,Democratic,Claire McCaskill,"4,280"
Cole,U.S. Senator,Libertarian,Japheth Campbell,58
Cole,U.S. Senator,Green,Jo Crain,8
Cole,U.S. Senator,Green,Jerome Bauer,2
Cole,State Auditor,Republican,Kevin M. Roach,"2,382"
Cole,State Auditor,Republican,David Wasinger,"3,066"
Cole,State Auditor,Republican,Paul Curtman,"2,590"
Cole,State Auditor,Republican,Saundra McDowell,"4,405"
Cole,State Auditor,Democratic,Nicole Galloway,"4,543"
Cole,State Auditor,Libertarian,Sean O'Toole,58
Cole,State Auditor,Green,Don Fitz,11
Cole,State Auditor,Constitution,Jacob Luetkemeyer,15
Cole,U.S. Representative - District 3,Republican,Chadwick Bicknell,"2,434"
Cole,U.S. Representative - District 3,Republican,Blaine Luetkemeyer,"11,967"
Cole,U.S. Representative - District 3,Democratic,Katy Geppert,"4,393"
Cole,U.S. Representative - District 3,Libertarian,Donald V. Stolle,58
Cole,State Senator - District 6,Republican,Mike Bernskoetter,"12,880"
Cole,State Senator - District 6,Democratic,Bryan Struebig,896
Cole,State Senator - District 6,Democratic,Nicole Thompson,"2,626"
Cole,State Senator - District 6,Democratic,Mollie Kristen Freebairn,"1,081"
Cole,State Senator - District 6,Libertarian,Steven Wilson,57
Cole,State Representative - District 49,Republican,Travis Fitzwater,348
Cole,State Representative - District 49,Democratic,Lisa Buhr,152
Cole,State Representative - District 50,Republican,Sara Walsh,291
Cole,State Representative - District 50,Democratic,Michela Skelton,94
Cole,State Representative - District 59,Republican,Karen Leydens,"1,834"
Cole,State Representative - District 59,Republican,Rudy L. Veit,"3,544"
Cole,State Representative - District 59,Republican,Kendra Lane,195
Cole,State Representative - District 59,Republican,Randy Dinwiddie,181
Cole,State Representative - District 59,Republican,Rik Combs,"1,153"
Cole,State Representative - District 59,Democratic,Linda Ellen Greeson,"1,602"
Cole,State Representative - District 60,Republican,Jane Beetem,"1,649"
Cole,State Representative - District 60,Republican,Pat Rowe Kerr,"1,483"
Cole,State Representative - District 60,Republican,Dave Griffith,"3,251"
Cole,State Representative - District 60,Democratic,Kevin A Nelson,991
Cole,State Representative - District 60,Democratic,Sara Michael,"1,686"
Cole,State Representative - District 62,Republican,Tom Hurst,458
Cole,State Representative - District 62,Democratic,Ashley D. Fajkowski,105
Cole,Circuit Judge - Circuit 19 Division 1,Republican,Jon E. Beetem,"12,172"
Cooper,U.S. Senator,Republican,Tony Monetti,276
Cooper,U.S. Senator,Republican,Austin Petersen,598
Cooper,U.S. Senator,Republican,Josh Hawley,"1,611"
Cooper,U.S. Senator,Republican,Fred Ryman,31
Cooper,U.S. Senator,Republican,Christina Smith,198
Cooper,U.S. Senator,Republican,Kristi Nichols,261
Cooper,U.S. Senator,Republican,Bradley Krembs,23
Cooper,U.S. Senator,Republican,Ken Patterson,69
Cooper,U.S. Senator,Republican,Brian G. Hagg,35
Cooper,U.S. Senator,Republican,Courtland Sykes,53
Cooper,U.S. Senator,Republican,Peter Pfeifer,138
Cooper,U.S. Senator,Democratic,Carla (Coffee) Wright,38
Cooper,U.S. Senator,Democratic,Angelica Earl,23
Cooper,U.S. Senator,Democratic,Leonard Joseph Steinman II,6
Cooper,U.S. Senator,Democratic,John Hogan,23
Cooper,U.S. Senator,Democratic,Travis Gonzalez,15
Cooper,U.S. Senator,Democratic,David Faust,30
Cooper,U.S. Senator,Democratic,Claire McCaskill,560
Cooper,U.S. Senator,Libertarian,Japheth Campbell,13
Cooper,U.S. Senator,Green,Jo Crain,0
Cooper,U.S. Senator,Green,Jerome Bauer,1
Cooper,State Auditor,Republican,Kevin M. Roach,758
Cooper,State Auditor,Republican,David Wasinger,512
Cooper,State Auditor,Republican,Paul Curtman,640
Cooper,State Auditor,Republican,Saundra McDowell,"1,098"
Cooper,State Auditor,Democratic,Nicole Galloway,619
Cooper,State Auditor,Libertarian,Sean O'Toole,13
Cooper,State Auditor,Green,Don Fitz,0
Cooper,State Auditor,Constitution,Jacob Luetkemeyer,0
Cooper,U.S. Representative - District 4,Republican,John Webb,"1,079"
Cooper,U.S. Representative - District 4,Republican,Vicky Hartzler,"2,353"
Cooper,U.S. Representative - District 4,Democratic,Renee Hoagenson,333
Cooper,U.S. Representative - District 4,Democratic,Hallie J Thompson,314
Cooper,U.S. Representative - District 4,Libertarian,Steven Koonse,7
Cooper,U.S. Representative - District 4,Libertarian,Mark Bliss,6
Cooper,State Representative - District 47,Republican,Charles (Chuck) Basye,130
Cooper,State Representative - District 47,Democratic,Adrian Plank,30
Cooper,State Representative - District 48,Republican,Dave Muntzel,"2,681"
Cooper,State Representative - District 48,Democratic,Raymond (Jeff) Faubion,508
Cooper,State Representative - District 50,Republican,Sara Walsh,341
Cooper,State Representative - District 50,Democratic,Michela Skelton,56
Cooper,Circuit Judge - Circuit 18,Republican,Robert Lawrence Koffman,"2,735"
Crawford,U.S. Senator,Republican,Tony Monetti,309
Crawford,U.S. Senator,Republican,Austin Petersen,227
Crawford,U.S. Senator,Republican,Josh Hawley,"2,028"
Crawford,U.S. Senator,Republican,Fred Ryman,42
Crawford,U.S. Senator,Republican,Christina Smith,347
Crawford,U.S. Senator,Republican,Kristi Nichols,250
Crawford,U.S. Senator,Republican,Bradley Krembs,43
Crawford,U.S. Senator,Republican,Ken Patterson,170
Crawford,U.S. Senator,Republican,Brian G. Hagg,31
Crawford,U.S. Senator,Republican,Courtland Sykes,142
Crawford,U.S. Senator,Republican,Peter Pfeifer,142
Crawford,U.S. Senator,Democratic,Carla (Coffee) Wright,29
Crawford,U.S. Senator,Democratic,Angelica Earl,22
Crawford,U.S. Senator,Democratic,Leonard Joseph Steinman II,25
Crawford,U.S. Senator,Democratic,John Hogan,39
Crawford,U.S. Senator,Democratic,Travis Gonzalez,18
Crawford,U.S. Senator,Democratic,David Faust,32
Crawford,U.S. Senator,Democratic,Claire McCaskill,961
Crawford,U.S. Senator,Libertarian,Japheth Campbell,20
Crawford,U.S. Senator,Green,Jo Crain,1
Crawford,U.S. Senator,Green,Jerome Bauer,1
Crawford,State Auditor,Republican,Kevin M. Roach,940
Crawford,State Auditor,Republican,David Wasinger,830
Crawford,State Auditor,Republican,Paul Curtman,672
Crawford,State Auditor,Republican,Saundra McDowell,972
Crawford,State Auditor,Democratic,Nicole Galloway,952
Crawford,State Auditor,Libertarian,Sean O'Toole,19
Crawford,State Auditor,Green,Don Fitz,3
Crawford,State Auditor,Constitution,Jacob Luetkemeyer,4
Crawford,U.S. Representative - District 8,Republican,Jason Smith,"3,575"
Crawford,U.S. Representative - District 8,Democratic,Kathy Ellis,966
Crawford,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,19
Crawford,State Senator - District 16,Republican,Justin Dan Brown,"1,909"
Crawford,State Senator - District 16,Republican,Diane Franklin,"1,029"
Crawford,State Senator - District 16,Republican,Keith Frederick,851
Crawford,State Senator - District 16,Democratic,Ryan Dillon,959
Crawford,State Representative - District 62,Republican,Tom Hurst,96
Crawford,State Representative - District 62,Democratic,Ashley D. Fajkowski,27
Crawford,State Representative - District 120,Republican,Jason Chipman,"3,277"
Crawford,State Representative - District 120,Democratic,Theresa Schmitt,960
Crawford,Circuit Judge - Circuit 42 Division 1,Republican,Megan Seay,"1,622"
Crawford,Circuit Judge - Circuit 42 Division 1,Republican,Scott Bernstein,"1,920"
Crawford,Circuit Judge - Circuit 42 Division 1,Republican,Glenn Hall,365
Crawford,Circuit Judge - Circuit 42 Division 1,Democratic,Sid Pearson,946
Dade,U.S. Senator,Republican,Tony Monetti,151
Dade,U.S. Senator,Republican,Austin Petersen,158
Dade,U.S. Senator,Republican,Josh Hawley,"1,050"
Dade,U.S. Senator,Republican,Fred Ryman,40
Dade,U.S. Senator,Republican,Christina Smith,62
Dade,U.S. Senator,Republican,Kristi Nichols,167
Dade,U.S. Senator,Republican,Bradley Krembs,17
Dade,U.S. Senator,Republican,Ken Patterson,48
Dade,U.S. Senator,Republican,Brian G. Hagg,26
Dade,U.S. Senator,Republican,Courtland Sykes,18
Dade,U.S. Senator,Republican,Peter Pfeifer,51
Dade,U.S. Senator,Democratic,Carla (Coffee) Wright,17
Dade,U.S. Senator,Democratic,Angelica Earl,2
Dade,U.S. Senator,Democratic,Leonard Joseph Steinman II,5
Dade,U.S. Senator,Democratic,John Hogan,5
Dade,U.S. Senator,Democratic,Travis Gonzalez,2
Dade,U.S. Senator,Democratic,David Faust,3
Dade,U.S. Senator,Democratic,Claire McCaskill,198
Dade,U.S. Senator,Libertarian,Japheth Campbell,2
Dade,U.S. Senator,Green,Jo Crain,2
Dade,U.S. Senator,Green,Jerome Bauer,1
Dade,State Auditor,Republican,Kevin M. Roach,337
Dade,State Auditor,Republican,David Wasinger,511
Dade,State Auditor,Republican,Paul Curtman,254
Dade,State Auditor,Republican,Saundra McDowell,527
Dade,State Auditor,Democratic,Nicole Galloway,197
Dade,State Auditor,Libertarian,Sean O'Toole,2
Dade,State Auditor,Green,Don Fitz,3
Dade,State Auditor,Constitution,Jacob Luetkemeyer,0
Dade,U.S. Representative - District 4,Republican,John Webb,482
Dade,U.S. Representative - District 4,Republican,Vicky Hartzler,"1,376"
Dade,U.S. Representative - District 4,Democratic,Renee Hoagenson,81
Dade,U.S. Representative - District 4,Democratic,Hallie J Thompson,129
Dade,U.S. Representative - District 4,Libertarian,Steven Koonse,1
Dade,U.S. Representative - District 4,Libertarian,Mark Bliss,1
Dade,State Senator - District 32,Republican,Bill White,"1,072"
Dade,State Senator - District 32,Republican,Rob O'Brian,736
Dade,State Senator - District 32,Democratic,Carolyn McGowan,202
Dade,State Senator - District 32,Green,Conon Gillis,3
Dade,State Representative - District 127,Republican,Ann Kelley,"1,307"
Dade,State Representative - District 127,Republican,George Randall Heim,554
Dade,State Representative - District 127,Democratic,Teri Hanna,199
Dade,Circuit Judge - Circuit 28,Republican,David Munton,"1,504"
Dallas,U.S. Senator,Republican,Tony Monetti,186
Dallas,U.S. Senator,Republican,Austin Petersen,254
Dallas,U.S. Senator,Republican,Josh Hawley,"1,905"
Dallas,U.S. Senator,Republican,Fred Ryman,42
Dallas,U.S. Senator,Republican,Christina Smith,182
Dallas,U.S. Senator,Republican,Kristi Nichols,255
Dallas,U.S. Senator,Republican,Bradley Krembs,40
Dallas,U.S. Senator,Republican,Ken Patterson,120
Dallas,U.S. Senator,Republican,Brian G. Hagg,40
Dallas,U.S. Senator,Republican,Courtland Sykes,70
Dallas,U.S. Senator,Republican,Peter Pfeifer,76
Dallas,U.S. Senator,Democratic,Carla (Coffee) Wright,26
Dallas,U.S. Senator,Democratic,Angelica Earl,24
Dallas,U.S. Senator,Democratic,Leonard Joseph Steinman II,3
Dallas,U.S. Senator,Democratic,John Hogan,25
Dallas,U.S. Senator,Democratic,Travis Gonzalez,12
Dallas,U.S. Senator,Democratic,David Faust,20
Dallas,U.S. Senator,Democratic,Claire McCaskill,432
Dallas,U.S. Senator,Libertarian,Japheth Campbell,8
Dallas,U.S. Senator,Green,Jo Crain,0
Dallas,U.S. Senator,Green,Jerome Bauer,0
Dallas,State Auditor,Republican,Kevin M. Roach,581
Dallas,State Auditor,Republican,David Wasinger,945
Dallas,State Auditor,Republican,Paul Curtman,338
Dallas,State Auditor,Republican,Saundra McDowell,"1,043"
Dallas,State Auditor,Democratic,Nicole Galloway,465
Dallas,State Auditor,Libertarian,Sean O'Toole,8
Dallas,State Auditor,Green,Don Fitz,0
Dallas,State Auditor,Constitution,Jacob Luetkemeyer,4
Dallas,U.S. Representative - District 4,Republican,John Webb,794
Dallas,U.S. Representative - District 4,Republican,Vicky Hartzler,"2,486"
Dallas,U.S. Representative - District 4,Democratic,Renee Hoagenson,216
Dallas,U.S. Representative - District 4,Democratic,Hallie J Thompson,280
Dallas,U.S. Representative - District 4,Libertarian,Steven Koonse,5
Dallas,U.S. Representative - District 4,Libertarian,Mark Bliss,3
Dallas,State Senator - District 28,Republican,Sandy Crawford,"3,009"
Dallas,State Senator - District 28,Democratic,Joe Poor,465
Dallas,State Representative - District 129,Republican,Jeff Knight,"2,899"
Dallas,State Representative - District 129,Democratic,Ronna Ford,485
Dallas,Circuit Judge - Circuit 30,Republican,Michael O. Hendrickson,"2,789"
Daviess,U.S. Senator,Republican,Tony Monetti,112
Daviess,U.S. Senator,Republican,Austin Petersen,90
Daviess,U.S. Senator,Republican,Josh Hawley,652
Daviess,U.S. Senator,Republican,Fred Ryman,30
Daviess,U.S. Senator,Republican,Christina Smith,54
Daviess,U.S. Senator,Republican,Kristi Nichols,80
Daviess,U.S. Senator,Republican,Bradley Krembs,10
Daviess,U.S. Senator,Republican,Ken Patterson,44
Daviess,U.S. Senator,Republican,Brian G. Hagg,22
Daviess,U.S. Senator,Republican,Courtland Sykes,18
Daviess,U.S. Senator,Republican,Peter Pfeifer,23
Daviess,U.S. Senator,Democratic,Carla (Coffee) Wright,31
Daviess,U.S. Senator,Democratic,Angelica Earl,19
Daviess,U.S. Senator,Democratic,Leonard Joseph Steinman II,16
Daviess,U.S. Senator,Democratic,John Hogan,21
Daviess,U.S. Senator,Democratic,Travis Gonzalez,6
Daviess,U.S. Senator,Democratic,David Faust,16
Daviess,U.S. Senator,Democratic,Claire McCaskill,302
Daviess,U.S. Senator,Libertarian,Japheth Campbell,3
Daviess,U.S. Senator,Green,Jo Crain,1
Daviess,U.S. Senator,Green,Jerome Bauer,1
Daviess,State Auditor,Republican,Kevin M. Roach,303
Daviess,State Auditor,Republican,David Wasinger,187
Daviess,State Auditor,Republican,Paul Curtman,147
Daviess,State Auditor,Republican,Saundra McDowell,345
Daviess,State Auditor,Democratic,Nicole Galloway,334
Daviess,State Auditor,Libertarian,Sean O'Toole,3
Daviess,State Auditor,Green,Don Fitz,2
Daviess,State Auditor,Constitution,Jacob Luetkemeyer,3
Daviess,U.S. Representative - District 6,Republican,Sam Graves,"1,079"
Daviess,U.S. Representative - District 6,Democratic,Winston Apple,126
Daviess,U.S. Representative - District 6,Democratic,Henry Robert Martin,155
Daviess,U.S. Representative - District 6,Democratic,Ed Andres,84
Daviess,U.S. Representative - District 6,Libertarian,Dan Hogan,3
Daviess,State Senator - District 12,Republican,Dan Hegeman,968
Daviess,State Senator - District 12,Democratic,Terry Richard,334
Daviess,State Representative - District 2,Republican,J. Eggleston,950
Daviess,State Representative - District 2,Republican,Amy Babcock,209
Daviess,Circuit Judge - Circuit 43 Division 1,Republican,Tom Chapman,954
Daviess,Circuit Judge - Circuit 43 Division 2,Republican,Ryan W. Horsman,899
Daviess,Circuit Judge - Circuit 43 Division 2,Democratic,Brent Elliott,347
De Kalb,U.S. Senator,Republican,Tony Monetti,205
De Kalb,U.S. Senator,Republican,Austin Petersen,120
De Kalb,U.S. Senator,Republican,Josh Hawley,963
De Kalb,U.S. Senator,Republican,Fred Ryman,32
De Kalb,U.S. Senator,Republican,Christina Smith,132
De Kalb,U.S. Senator,Republican,Kristi Nichols,222
De Kalb,U.S. Senator,Republican,Bradley Krembs,23
De Kalb,U.S. Senator,Republican,Ken Patterson,78
De Kalb,U.S. Senator,Republican,Brian G. Hagg,49
De Kalb,U.S. Senator,Republican,Courtland Sykes,25
De Kalb,U.S. Senator,Republican,Peter Pfeifer,61
De Kalb,U.S. Senator,Democratic,Carla (Coffee) Wright,48
De Kalb,U.S. Senator,Democratic,Angelica Earl,19
De Kalb,U.S. Senator,Democratic,Leonard Joseph Steinman II,14
De Kalb,U.S. Senator,Democratic,John Hogan,31
De Kalb,U.S. Senator,Democratic,Travis Gonzalez,9
De Kalb,U.S. Senator,Democratic,David Faust,15
De Kalb,U.S. Senator,Democratic,Claire McCaskill,337
De Kalb,U.S. Senator,Libertarian,Japheth Campbell,6
De Kalb,U.S. Senator,Green,Jo Crain,1
De Kalb,U.S. Senator,Green,Jerome Bauer,0
De Kalb,State Auditor,Republican,Kevin M. Roach,519
De Kalb,State Auditor,Republican,David Wasinger,258
De Kalb,State Auditor,Republican,Paul Curtman,245
De Kalb,State Auditor,Republican,Saundra McDowell,643
De Kalb,State Auditor,Democratic,Nicole Galloway,400
De Kalb,State Auditor,Libertarian,Sean O'Toole,4
De Kalb,State Auditor,Green,Don Fitz,0
De Kalb,State Auditor,Constitution,Jacob Luetkemeyer,1
De Kalb,U.S. Representative - District 6,Republican,Sam Graves,"1,830"
De Kalb,U.S. Representative - District 6,Democratic,Winston Apple,117
De Kalb,U.S. Representative - District 6,Democratic,Henry Robert Martin,178
De Kalb,U.S. Representative - District 6,Democratic,Ed Andres,144
De Kalb,U.S. Representative - District 6,Libertarian,Dan Hogan,6
De Kalb,State Senator - District 12,Republican,Dan Hegeman,"1,751"
De Kalb,State Senator - District 12,Democratic,Terry Richard,395
De Kalb,State Representative - District 2,Republican,J. Eggleston,"1,641"
De Kalb,State Representative - District 2,Republican,Amy Babcock,433
De Kalb,Circuit Judge - Circuit 43 Division 1,Republican,Tom Chapman,"1,657"
De Kalb,Circuit Judge - Circuit 43 Division 2,Republican,Ryan W. Horsman,"1,591"
De Kalb,Circuit Judge - Circuit 43 Division 2,Democratic,Brent Elliott,408
Dent,U.S. Senator,Republican,Tony Monetti,190
Dent,U.S. Senator,Republican,Austin Petersen,222
Dent,U.S. Senator,Republican,Josh Hawley,"1,706"
Dent,U.S. Senator,Republican,Fred Ryman,38
Dent,U.S. Senator,Republican,Christina Smith,180
Dent,U.S. Senator,Republican,Kristi Nichols,244
Dent,U.S. Senator,Republican,Bradley Krembs,32
Dent,U.S. Senator,Republican,Ken Patterson,125
Dent,U.S. Senator,Republican,Brian G. Hagg,66
Dent,U.S. Senator,Republican,Courtland Sykes,66
Dent,U.S. Senator,Republican,Peter Pfeifer,107
Dent,U.S. Senator,Democratic,Carla (Coffee) Wright,30
Dent,U.S. Senator,Democratic,Angelica Earl,14
Dent,U.S. Senator,Democratic,Leonard Joseph Steinman II,24
Dent,U.S. Senator,Democratic,John Hogan,36
Dent,U.S. Senator,Democratic,Travis Gonzalez,4
Dent,U.S. Senator,Democratic,David Faust,19
Dent,U.S. Senator,Democratic,Claire McCaskill,445
Dent,U.S. Senator,Libertarian,Japheth Campbell,15
Dent,U.S. Senator,Green,Jo Crain,1
Dent,U.S. Senator,Green,Jerome Bauer,2
Dent,State Auditor,Republican,Kevin M. Roach,627
Dent,State Auditor,Republican,David Wasinger,723
Dent,State Auditor,Republican,Paul Curtman,453
Dent,State Auditor,Republican,Saundra McDowell,861
Dent,State Auditor,Democratic,Nicole Galloway,472
Dent,State Auditor,Libertarian,Sean O'Toole,16
Dent,State Auditor,Green,Don Fitz,3
Dent,State Auditor,Constitution,Jacob Luetkemeyer,4
Dent,U.S. Representative - District 8,Republican,Jason Smith,"2,911"
Dent,U.S. Representative - District 8,Democratic,Kathy Ellis,482
Dent,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,16
Dent,State Senator - District 16,Republican,Justin Dan Brown,"1,787"
Dent,State Senator - District 16,Republican,Diane Franklin,682
Dent,State Senator - District 16,Republican,Keith Frederick,699
Dent,State Senator - District 16,Democratic,Ryan Dillon,488
Dent,State Representative - District 143,Republican,Jack Bates,625
Dent,State Representative - District 143,Republican,Jeffrey Pogue,"2,615"
Dent,Circuit Judge - Circuit 42 Division 1,Republican,Megan Seay,"2,348"
Dent,Circuit Judge - Circuit 42 Division 1,Republican,Scott Bernstein,534
Dent,Circuit Judge - Circuit 42 Division 1,Republican,Glenn Hall,397
Dent,Circuit Judge - Circuit 42 Division 1,Democratic,Sid Pearson,478
Douglas,U.S. Senator,Republican,Tony Monetti,216
Douglas,U.S. Senator,Republican,Austin Petersen,143
Douglas,U.S. Senator,Republican,Josh Hawley,"1,647"
Douglas,U.S. Senator,Republican,Fred Ryman,36
Douglas,U.S. Senator,Republican,Christina Smith,140
Douglas,U.S. Senator,Republican,Kristi Nichols,157
Douglas,U.S. Senator,Republican,Bradley Krembs,22
Douglas,U.S. Senator,Republican,Ken Patterson,55
Douglas,U.S. Senator,Republican,Brian G. Hagg,15
Douglas,U.S. Senator,Republican,Courtland Sykes,39
Douglas,U.S. Senator,Republican,Peter Pfeifer,75
Douglas,U.S. Senator,Democratic,Carla (Coffee) Wright,15
Douglas,U.S. Senator,Democratic,Angelica Earl,12
Douglas,U.S. Senator,Democratic,Leonard Joseph Steinman II,3
Douglas,U.S. Senator,Democratic,John Hogan,11
Douglas,U.S. Senator,Democratic,Travis Gonzalez,3
Douglas,U.S. Senator,Democratic,David Faust,8
Douglas,U.S. Senator,Democratic,Claire McCaskill,261
Douglas,U.S. Senator,Libertarian,Japheth Campbell,7
Douglas,U.S. Senator,Green,Jo Crain,0
Douglas,U.S. Senator,Green,Jerome Bauer,0
Douglas,State Auditor,Republican,Kevin M. Roach,466
Douglas,State Auditor,Republican,David Wasinger,720
Douglas,State Auditor,Republican,Paul Curtman,359
Douglas,State Auditor,Republican,Saundra McDowell,733
Douglas,State Auditor,Democratic,Nicole Galloway,257
Douglas,State Auditor,Libertarian,Sean O'Toole,7
Douglas,State Auditor,Green,Don Fitz,0
Douglas,State Auditor,Constitution,Jacob Luetkemeyer,0
Douglas,U.S. Representative - District 8,Republican,Jason Smith,"2,088"
Douglas,U.S. Representative - District 8,Democratic,Kathy Ellis,270
Douglas,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,7
Douglas,State Representative - District 155,Republican,Karla Eslinger,"1,587"
Douglas,State Representative - District 155,Republican,Mike Lind,517
Douglas,State Representative - District 155,Republican,Jack L. Clemans,537
Douglas,Circuit Judge - Circuit 44,Republican,Craig Carter,"2,289"
Dunklin,U.S. Senator,Republican,Tony Monetti,340
Dunklin,U.S. Senator,Republican,Austin Petersen,213
Dunklin,U.S. Senator,Republican,Josh Hawley,"1,979"
Dunklin,U.S. Senator,Republican,Fred Ryman,104
Dunklin,U.S. Senator,Republican,Christina Smith,297
Dunklin,U.S. Senator,Republican,Kristi Nichols,464
Dunklin,U.S. Senator,Republican,Bradley Krembs,48
Dunklin,U.S. Senator,Republican,Ken Patterson,272
Dunklin,U.S. Senator,Republican,Brian G. Hagg,38
Dunklin,U.S. Senator,Republican,Courtland Sykes,215
Dunklin,U.S. Senator,Republican,Peter Pfeifer,181
Dunklin,U.S. Senator,Democratic,Carla (Coffee) Wright,45
Dunklin,U.S. Senator,Democratic,Angelica Earl,11
Dunklin,U.S. Senator,Democratic,Leonard Joseph Steinman II,6
Dunklin,U.S. Senator,Democratic,John Hogan,32
Dunklin,U.S. Senator,Democratic,Travis Gonzalez,8
Dunklin,U.S. Senator,Democratic,David Faust,20
Dunklin,U.S. Senator,Democratic,Claire McCaskill,609
Dunklin,U.S. Senator,Libertarian,Japheth Campbell,2
Dunklin,U.S. Senator,Green,Jo Crain,1
Dunklin,U.S. Senator,Green,Jerome Bauer,1
Dunklin,State Auditor,Republican,Kevin M. Roach,"1,039"
