race name,county,party,candidate,votes
 25th Congressional District , Part of Monroe , DEM Primary ,Robin R. Wilt,"5,861"
 25th Congressional District , Part of Monroe , DEM Primary ,Rachel A. Barnhart,"6,678"
 25th Congressional District , Part of Monroe , DEM Primary ,Blank,4
 25th Congressional District , Part of Monroe , DEM Primary ,Void,11
 25th Congressional District , Part of Monroe , DEM Primary ,Write-in,33
 11th Congressional District , Part of Kings , REP Primary ,Michael G. Grimm,880
 11th Congressional District , Part of Kings , REP Primary ,Dan Donovan,"2,449"
 11th Congressional District , Part of Kings , REP Primary ,Blank,3
 11th Congressional District , Part of Kings , REP Primary ,Void,7
 11th Congressional District , Part of Kings , REP Primary ,Write-in,19
 11th Congressional District , Richmond , REP Primary ,Michael G. Grimm,"6,339"
 11th Congressional District , Richmond , REP Primary ,Dan Donovan,"10,325"
 11th Congressional District , Richmond , REP Primary ,Blank,7
 11th Congressional District , Richmond , REP Primary ,Void,22
 11th Congressional District , Richmond , REP Primary ,Write-in,67
 11th Congressional District , Part of Kings , CON Primary ,Dan Donovan,100
 11th Congressional District , Part of Kings , CON Primary ,Opportunity To Ballot,38
 11th Congressional District , Part of Kings , CON Primary ,Blank,0
 11th Congressional District , Part of Kings , CON Primary ,Void,0
 11th Congressional District , Richmond , CON Primary ,Dan Donovan,463
 11th Congressional District , Richmond , CON Primary ,Opportunity To Ballot,424
 11th Congressional District , Richmond , CON Primary ,Blank,2
 11th Congressional District , Richmond , CON Primary ,Void,3
 7th Congressional District , Part of Kings , REF Primary ,Opportunity To Ballot,66
 7th Congressional District , Part of Kings , REF Primary ,Blank,3
 7th Congressional District , Part of Kings , REF Primary ,Void,0
 7th Congressional District , Part of New York , REF Primary ,Opportunity To Ballot,22
 7th Congressional District , Part of New York , REF Primary ,Blank,3
 7th Congressional District , Part of New York , REF Primary ,Void,0
 7th Congressional District , Part of Queens , REF Primary ,Opportunity To Ballot,13
 7th Congressional District , Part of Queens , REF Primary ,Blank,1
 7th Congressional District , Part of Queens , REF Primary ,Void,0
 15th Congressional District , Part of Bronx , REF Primary ,Opportunity To Ballot,50
 15th Congressional District , Part of Bronx , REF Primary ,Blank,1
 15th Congressional District , Part of Bronx , REF Primary ,Void,0
19th Congressional District,All Counties,WEP Primary,Opportunity To Ballot,7
19th Congressional District,All Counties,WEP Primary,Blank,2
19th Congressional District,All Counties,WEP Primary,Void,0
21st Congressional District,All Counties,WEP Primary,Opportunity To Ballot,3
21st Congressional District,All Counties,WEP Primary,Blank,0
21st Congressional District,All Counties,WEP Primary,Void,0
23rd Congressional District,All Counties,WEP Primary,Tracy Mitrano,3
23rd Congressional District,All Counties,WEP Primary,Opportunity To Ballot,0
23rd Congressional District,All Counties,WEP Primary,Blank,0
23rd Congressional District,All Counties,WEP Primary,Void,0
